timestamp,team,fire_cost,damage_cost,total
36.0,blue,9500.0,2000.0,11500.0
37.0,red,6500.0,8300.0,14800.0
37.0,blue,9500.0,2000.0,11500.0
38.0,red,6500.0,8300.0,14800.0
38.0,blue,9500.0,2000.0,11500.0
39.0,red,7000.0,8300.0,15300.0
39.0,blue,10000.0,2000.0,12000.0
40.0,red,7000.0,8300.0,15300.0
40.0,blue,10000.0,2000.0,12000.0
41.0,red,7000.0,8300.0,15300.0
41.0,blue,10500.0,2000.0,12500.0
42.0,red,7000.0,8300.0,15300.0
42.0,blue,10500.0,2000.0,12500.0
43.0,red,7000.0,8300.0,15300.0
43.0,blue,10500.0,2000.0,12500.0
44.0,red,8000.0,9500.0,17500.0
44.0,blue,11000.0,4100.0,15100.0
45.0,red,8000.0,9500.0,17500.0
45.0,blue,11500.0,4100.0,15600.0
46.0,red,8500.0,9500.0,18000.0
46.0,blue,11500.0,4100.0,15600.0
47.0,red,8500.0,9500.0,18000.0
47.0,blue,12000.0,4100.0,16100.0
48.0,red,8500.0,9500.0,18000.0
48.0,blue,12000.0,4100.0,16100.0
49.0,red,8500.0,9500.0,18000.0
49.0,blue,12500.0,4100.0,16600.0
50.0,red,8500.0,9500.0,18000.0
50.0,blue,12500.0,4100.0,16600.0
51.0,red,9000.0,9500.0,18500.0
51.0,blue,12500.0,6200.0,18700.0
52.0,red,9000.0,9500.0,18500.0
52.0,blue,12500.0,6200.0,18700.0
53.0,red,9000.0,9500.0,18500.0
53.0,blue,13000.0,6200.0,19200.0
54.0,red,9000.0,9500.0,18500.0
54.0,blue,13000.0,6200.0,19200.0
55.0,red,9000.0,9500.0,18500.0
55.0,blue,13000.0,6200.0,19200.0
56.0,red,9500.0,9500.0,19000.0
56.0,blue,13000.0,6200.0,19200.0
57.0,red,9500.0,9500.0,19000.0
57.0,blue,13500.0,6200.0,19700.0
58.0,red,9500.0,9500.0,19000.0
58.0,blue,14000.0,6200.0,20200.0
59.0,red,10000.0,13000.0,23000.0
59.0,blue,14500.0,6200.0,20700.0
60.0,red,10000.0,13000.0,23000.0
60.0,blue,14500.0,6200.0,20700.0
61.0,red,10000.0,13000.0,23000.0
61.0,blue,14500.0,6200.0,20700.0
62.0,red,10000.0,13000.0,23000.0
62.0,blue,14500.0,6200.0,20700.0
63.0,red,10000.0,13000.0,23000.0
63.0,blue,14500.0,6200.0,20700.0
64.0,red,10000.0,13000.0,23000.0
64.0,blue,14500.0,6200.0,20700.0
65.0,red,10000.0,13000.0,23000.0
65.0,blue,15000.0,6200.0,21200.0
66.0,red,10000.0,13000.0,23000.0
66.0,blue,16000.0,6200.0,22200.0
67.0,red,10000.0,13000.0,23000.0
67.0,blue,16000.0,6200.0,22200.0
68.0,red,10000.0,13000.0,23000.0
68.0,blue,16500.0,6200.0,22700.0
69.0,red,10000.0,16500.0,26500.0
69.0,blue,17000.0,6200.0,23200.0
70.0,red,10500.0,16500.0,27000.0
70.0,blue,17500.0,6200.0,23700.0
71.0,red,10500.0,16500.0,27000.0
71.0,blue,18500.0,6200.0,24700.0
72.0,red,10500.0,16500.0,27000.0
72.0,blue,19500.0,6200.0,25700.0
73.0,red,10500.0,16500.0,27000.0
73.0,blue,20500.0,6200.0,26700.0
74.0,red,10500.0,16500.0,27000.0
74.0,blue,22000.0,6200.0,28200.0
75.0,red,11000.0,16500.0,27500.0
75.0,blue,24000.0,6200.0,30200.0
76.0,red,11000.0,20000.0,31000.0
76.0,blue,26500.0,6200.0,32700.0
77.0,red,11000.0,20000.0,31000.0
77.0,blue,28500.0,6200.0,34700.0
78.0,red,11000.0,20000.0,31000.0
78.0,blue,29500.0,6200.0,35700.0
79.0,red,11000.0,20000.0,31000.0
79.0,blue,32500.0,6200.0,38700.0
80.0,red,11500.0,20000.0,31500.0
80.0,blue,35000.0,6200.0,41200.0
81.0,red,11500.0,20000.0,31500.0
81.0,blue,36500.0,6200.0,42700.0
82.0,red,11500.0,20000.0,31500.0
82.0,blue,40000.0,6200.0,46200.0
83.0,red,12000.0,20000.0,32000.0
83.0,blue,43000.0,6200.0,49200.0
84.0,red,12000.0,20000.0,32000.0
84.0,blue,44500.0,6200.0,50700.0
85.0,red,12000.0,20000.0,32000.0
85.0,blue,46000.0,6200.0,52200.0
86.0,red,12000.0,20050.0,32050.0
86.0,blue,47500.0,6200.0,53700.0
87.0,red,12000.0,20120.0,32120.0
87.0,blue,50000.0,6200.0,56200.0
88.0,red,12000.0,20120.0,32120.0
88.0,blue,51500.0,6200.0,57700.0
89.0,red,12000.0,20120.0,32120.0
89.0,blue,53500.0,6200.0,59700.0
90.0,red,12000.0,21160.0,33160.0
90.0,blue,56500.0,6200.0,62700.0
91.0,red,12000.0,21160.0,33160.0
91.0,blue,57500.0,6200.0,63700.0
92.0,red,12000.0,21160.0,33160.0
92.0,blue,58500.0,6200.0,64700.0
93.0,red,12000.0,25160.0,37160.0
93.0,blue,61000.0,6200.0,67200.0
94.0,red,12000.0,25160.0,37160.0
94.0,blue,62500.0,6200.0,68700.0
95.0,red,12500.0,25160.0,37660.0
95.0,blue,63000.0,6200.0,69200.0
96.0,red,12500.0,25160.0,37660.0
96.0,blue,64000.0,6200.0,70200.0
97.0,red,12500.0,25210.0,37710.0
97.0,blue,68300.0,6200.0,74500.0
98.0,red,12500.0,25210.0,37710.0
98.0,blue,70300.0,6200.0,76500.0
99.0,red,13000.0,25210.0,38210.0
99.0,blue,71300.0,6200.0,77500.0
100.0,red,13000.0,25380.0,38380.0
100.0,blue,74300.0,6200.0,80500.0
101.0,red,13000.0,25780.0,38780.0
101.0,blue,75300.0,6200.0,81500.0
102.0,red,13000.0,26490.0,39490.0
102.0,blue,78300.0,6200.0,84500.0
103.0,red,13000.0,26490.0,39490.0
103.0,blue,79300.0,6200.0,85500.0
104.0,red,13000.0,26500.0,39500.0
104.0,blue,81600.0,6200.0,87800.0
105.0,red,13000.0,26500.0,39500.0
105.0,blue,84900.0,6200.0,91100.0
106.0,red,13000.0,26500.0,39500.0
106.0,blue,87300.0,6200.0,93500.0
107.0,red,13000.0,26500.0,39500.0
107.0,blue,88400.0,6200.0,94600.0
108.0,red,13500.0,26820.0,40320.0
108.0,blue,91700.0,6300.0,98000.0
109.0,red,13500.0,27450.0,40950.0
109.0,blue,94400.0,6300.0,100700.0
110.0,red,13500.0,27450.0,40950.0
110.0,blue,96800.0,6300.0,103100.0
111.0,red,13500.0,27450.0,40950.0
111.0,blue,100900.0,6300.0,107200.0
112.0,red,13500.0,27530.0,41030.0
112.0,blue,104900.0,6300.0,111200.0
113.0,red,14000.0,27610.0,41610.0
113.0,blue,107200.0,6310.0,113510.0
114.0,red,14000.0,28180.0,42180.0
114.0,blue,110000.0,6310.0,116310.0
115.0,red,14000.0,28220.0,42220.0
115.0,blue,113100.0,6310.0,119410.0
116.0,red,14000.0,28220.0,42220.0
116.0,blue,115700.0,6310.0,122010.0
117.0,red,14500.0,28620.0,43120.0
117.0,blue,117510.0,6310.0,123820.0
118.0,red,14500.0,28620.0,43120.0
118.0,blue,119610.0,6310.0,125920.0
119.0,red,14500.0,28620.0,43120.0
119.0,blue,120710.0,6310.0,127020.0
120.0,red,14500.0,28620.0,43120.0
120.0,blue,123910.0,6310.0,130220.0
121.0,red,14500.0,28660.0,43160.0
121.0,blue,128010.0,6310.0,134320.0
122.0,red,14500.0,28660.0,43160.0
122.0,blue,132210.0,6310.0,138520.0
123.0,red,14500.0,28670.0,43170.0
123.0,blue,133810.0,6310.0,140120.0
124.0,red,14500.0,28670.0,43170.0
124.0,blue,136310.0,6310.0,142620.0
125.0,red,14500.0,28670.0,43170.0
125.0,blue,137510.0,6310.0,143820.0
126.0,red,14500.0,28750.0,43250.0
126.0,blue,140510.0,6310.0,146820.0
127.0,red,14500.0,28790.0,43290.0
127.0,blue,140810.0,6310.0,147120.0
128.0,red,14510.0,28970.0,43480.0
128.0,blue,142810.0,6310.0,149120.0
129.0,red,14510.0,28980.0,43490.0
129.0,blue,145810.0,6310.0,152120.0
130.0,red,15010.0,28980.0,43990.0
130.0,blue,146810.0,8310.0,155120.0
131.0,red,15010.0,29030.0,44040.0
131.0,blue,148310.0,8310.0,156620.0
132.0,red,15510.0,29030.0,44540.0
132.0,blue,148810.0,8310.0,157120.0
133.0,red,15510.0,29120.0,44630.0
133.0,blue,151810.0,8310.0,160120.0
134.0,red,15510.0,29130.0,44640.0
134.0,blue,153310.0,8310.0,161620.0
135.0,red,15510.0,29130.0,44640.0
135.0,blue,155310.0,8310.0,163620.0
136.0,red,15510.0,29350.0,44860.0
136.0,blue,158610.0,8310.0,166920.0
137.0,red,15510.0,29350.0,44860.0
137.0,blue,160110.0,8310.0,168420.0
138.0,red,15510.0,29350.0,44860.0
138.0,blue,161610.0,8310.0,169920.0
139.0,red,15510.0,29350.0,44860.0
139.0,blue,163610.0,8310.0,171920.0
140.0,red,16010.0,29350.0,45360.0
140.0,blue,165610.0,8310.0,173920.0
141.0,red,16010.0,29350.0,45360.0
141.0,blue,167610.0,8310.0,175920.0
142.0,red,16010.0,29350.0,45360.0
142.0,blue,169110.0,8310.0,177420.0
143.0,red,16010.0,29400.0,45410.0
143.0,blue,170610.0,8310.0,178920.0
144.0,red,16010.0,29450.0,45460.0
144.0,blue,173110.0,8310.0,181420.0
145.0,red,16510.0,29460.0,45970.0
145.0,blue,175610.0,8310.0,183920.0
146.0,red,16510.0,29460.0,45970.0
146.0,blue,177110.0,8310.0,185420.0
147.0,red,16510.0,29460.0,45970.0
147.0,blue,180110.0,8310.0,188420.0
148.0,red,16510.0,29460.0,45970.0
148.0,blue,181410.0,8310.0,189720.0
149.0,red,16510.0,30660.0,47170.0
149.0,blue,182910.0,8310.0,191220.0
150.0,red,16510.0,31560.0,48070.0
150.0,blue,184910.0,8310.0,193220.0
151.0,red,16510.0,31560.0,48070.0
151.0,blue,186410.0,8310.0,194720.0
152.0,red,16510.0,31560.0,48070.0
152.0,blue,188010.0,8310.0,196320.0
153.0,red,16510.0,31560.0,48070.0
153.0,blue,191810.0,8310.0,200120.0
154.0,red,16510.0,31610.0,48120.0
154.0,blue,194410.0,8310.0,202720.0
155.0,red,17010.0,31660.0,48670.0
155.0,blue,196910.0,8310.0,205220.0
156.0,red,17010.0,31660.0,48670.0
156.0,blue,197410.0,8310.0,205720.0
157.0,red,17010.0,31660.0,48670.0
157.0,blue,200910.0,8310.0,209220.0
158.0,red,17010.0,31660.0,48670.0
158.0,blue,204210.0,8310.0,212520.0
159.0,red,17010.0,31730.0,48740.0
159.0,blue,205210.0,8310.0,213520.0
160.0,red,17010.0,31730.0,48740.0
160.0,blue,207210.0,8310.0,215520.0
161.0,red,17010.0,31730.0,48740.0
161.0,blue,207710.0,8310.0,216020.0
162.0,red,17010.0,31730.0,48740.0
162.0,blue,208710.0,8310.0,217020.0
163.0,red,17510.0,31730.0,49240.0
163.0,blue,212210.0,8310.0,220520.0
164.0,red,17510.0,31730.0,49240.0
164.0,blue,214210.0,8310.0,222520.0
165.0,red,17510.0,31730.0,49240.0
165.0,blue,215710.0,8310.0,224020.0
166.0,red,17510.0,31730.0,49240.0
166.0,blue,220210.0,8310.0,228520.0
167.0,red,17510.0,31730.0,49240.0
167.0,blue,223210.0,8310.0,231520.0
168.0,red,17510.0,31730.0,49240.0
168.0,blue,224210.0,8310.0,232520.0
169.0,red,17510.0,31730.0,49240.0
169.0,blue,225710.0,8310.0,234020.0
170.0,red,17510.0,31730.0,49240.0
170.0,blue,226210.0,8310.0,234520.0
171.0,red,17510.0,31730.0,49240.0
171.0,blue,226710.0,8310.0,235020.0
172.0,red,17510.0,31730.0,49240.0
172.0,blue,226710.0,8310.0,235020.0
173.0,red,17510.0,31730.0,49240.0
173.0,blue,227210.0,8310.0,235520.0
174.0,red,18010.0,31730.0,49740.0
174.0,blue,227710.0,8310.0,236020.0
175.0,red,18010.0,31730.0,49740.0
175.0,blue,227710.0,8310.0,236020.0
176.0,red,18010.0,31730.0,49740.0
176.0,blue,227710.0,8310.0,236020.0
177.0,red,18010.0,31730.0,49740.0
177.0,blue,227710.0,8310.0,236020.0
178.0,red,18010.0,31730.0,49740.0
178.0,blue,227710.0,8310.0,236020.0
179.0,red,18010.0,31730.0,49740.0
179.0,blue,228210.0,8310.0,236520.0
180.0,red,18010.0,31730.0,49740.0
180.0,blue,228710.0,8310.0,237020.0
181.0,red,18010.0,31730.0,49740.0
181.0,blue,230210.0,8310.0,238520.0
182.0,red,18010.0,31730.0,49740.0
182.0,blue,231710.0,8310.0,240020.0
183.0,red,18010.0,31730.0,49740.0
183.0,blue,232210.0,8310.0,240520.0
184.0,red,18010.0,31730.0,49740.0
184.0,blue,232210.0,8310.0,240520.0
185.0,red,18010.0,31730.0,49740.0
185.0,blue,232710.0,8310.0,241020.0
186.0,red,18010.0,31730.0,49740.0
186.0,blue,232710.0,8310.0,241020.0
187.0,red,18010.0,32930.0,50940.0
187.0,blue,233710.0,8310.0,242020.0
